region;period;sector;value;unit;value_pCap;unit_pCap
CAZ;1990;trn_aviation_intl;58.3372230550629;billion pkm/yr;1213.02398255838;pkm/yr pCap
CAZ;1990;trn_freight;1138.99880184251;billion tkm/yr;23683.5555479927;tkm/yr pCap
CAZ;1990;trn_pass;986.511631627417;billion pkm/yr;20512.8424969313;pkm/yr pCap
CAZ;1990;trn_shipping_intl;595.800880168141;billion tkm/yr;12388.6725940176;tkm/yr pCap
CAZ;2005;trn_aviation_intl;89.6686363043715;billion pkm/yr;1585.35474685134;pkm/yr pCap
CAZ;2005;trn_freight;1429.55003128359;billion tkm/yr;25274.6559038105;tkm/yr pCap
CAZ;2005;trn_pass;1271.33741194054;billion pkm/yr;22477.4334030033;pkm/yr pCap
CAZ;2005;trn_shipping_intl;702.568497976371;billion tkm/yr;12421.5149149174;tkm/yr pCap
CAZ;2010;trn_aviation_intl;116.72518486528;billion pkm/yr;1932.74762353603;pkm/yr pCap
CAZ;2010;trn_freight;1605.94085287689;billion tkm/yr;26591.3339140959;tkm/yr pCap
CAZ;2010;trn_pass;1443.6259737406;billion pkm/yr;23903.7074410492;pkm/yr pCap
CAZ;2010;trn_shipping_intl;576.502879797234;billion tkm/yr;9545.79401331248;tkm/yr pCap
CAZ;2015;trn_aviation_intl;126.854866236865;billion pkm/yr;1977.9572216442;pkm/yr pCap
CAZ;2015;trn_freight;1705.395378858;billion tkm/yr;26591.0106993635;tkm/yr pCap
CAZ;2015;trn_pass;1595.41229601509;billion pkm/yr;24876.1231320105;pkm/yr pCap
CAZ;2015;trn_shipping_intl;584.679754219244;billion tkm/yr;9116.49333221262;tkm/yr pCap
CAZ;2020;trn_aviation_intl;110.558552113072;billion pkm/yr;1608.06543976918;pkm/yr pCap
CAZ;2020;trn_freight;1685.53290109714;billion tkm/yr;24515.9433987172;tkm/yr pCap
CAZ;2020;trn_pass;1647.17472524913;billion pkm/yr;23958.0267497121;pkm/yr pCap
CAZ;2020;trn_shipping_intl;480.245597472106;billion tkm/yr;6985.13442095707;tkm/yr pCap
CAZ;2025;trn_aviation_intl;119.945388235008;billion pkm/yr;1669.01111106348;pkm/yr pCap
CAZ;2025;trn_freight;1738.04408691984;billion tkm/yr;24184.4637403137;tkm/yr pCap
CAZ;2025;trn_pass;1747.57185260733;billion pkm/yr;24317.0402989461;pkm/yr pCap
CAZ;2025;trn_shipping_intl;503.080795304224;billion tkm/yr;7000.24777509819;tkm/yr pCap
CAZ;2030;trn_aviation_intl;134.303785158942;billion pkm/yr;1801.53928059157;pkm/yr pCap
CAZ;2030;trn_freight;1795.00879193009;billion tkm/yr;24078.0916475457;tkm/yr pCap
CAZ;2030;trn_pass;1850.38067755883;billion pkm/yr;24820.8453002632;pkm/yr pCap
CAZ;2030;trn_shipping_intl;542.550288821237;billion tkm/yr;7277.72233560675;tkm/yr pCap
CAZ;2035;trn_aviation_intl;153.819453760404;billion pkm/yr;2013.73150720034;pkm/yr pCap
CAZ;2035;trn_freight;1850.47382317131;billion tkm/yr;24225.5277201405;tkm/yr pCap
CAZ;2035;trn_pass;1953.47177736857;billion pkm/yr;25573.9282018331;pkm/yr pCap
CAZ;2035;trn_shipping_intl;594.478719311845;billion tkm/yr;7782.63410883684;tkm/yr pCap
CAZ;2040;trn_aviation_intl;172.986511297024;billion pkm/yr;2215.19601118645;pkm/yr pCap
CAZ;2040;trn_freight;1883.98887367844;billion tkm/yr;24125.607290422;tkm/yr pCap
CAZ;2040;trn_pass;2047.63444097133;billion pkm/yr;26221.1869121944;pkm/yr pCap
CAZ;2040;trn_shipping_intl;645.171884703456;billion tkm/yr;8261.81287089363;tkm/yr pCap
CAZ;2045;trn_aviation_intl;190.637892355506;billion pkm/yr;2390.72032405257;pkm/yr pCap
CAZ;2045;trn_freight;1894.70779591471;billion tkm/yr;23760.8398826977;tkm/yr pCap
CAZ;2045;trn_pass;2131.19175729718;billion pkm/yr;26726.4990483752;pkm/yr pCap
CAZ;2045;trn_shipping_intl;692.172891089538;billion tkm/yr;8680.2879429662;tkm/yr pCap
CAZ;2050;trn_aviation_intl;206.020000160081;billion pkm/yr;2530.25137446372;pkm/yr pCap
CAZ;2050;trn_freight;1884.85676367534;billion tkm/yr;23149.021518547;tkm/yr pCap
CAZ;2050;trn_pass;2204.86888644946;billion pkm/yr;27079.2764106211;pkm/yr pCap
CAZ;2050;trn_shipping_intl;733.63829157776;billion tkm/yr;9010.23829813355;tkm/yr pCap
CAZ;2055;trn_aviation_intl;220.084152498546;billion pkm/yr;2654.00173913408;pkm/yr pCap
CAZ;2055;trn_freight;1874.07408261696;billion tkm/yr;22599.5184935653;tkm/yr pCap
CAZ;2055;trn_pass;2271.14124146182;billion pkm/yr;27387.7638904447;pkm/yr pCap
CAZ;2055;trn_shipping_intl;771.072400270265;billion tkm/yr;9298.38640394199;tkm/yr pCap
CAZ;2060;trn_aviation_intl;233.091275894376;billion pkm/yr;2764.28216529134;pkm/yr pCap
CAZ;2060;trn_freight;1862.34259283555;billion tkm/yr;22085.9420640459;tkm/yr pCap
CAZ;2060;trn_pass;2332.44821890255;billion pkm/yr;27661.0310198804;pkm/yr pCap
CAZ;2060;trn_shipping_intl;805.292958490669;billion tkm/yr;9550.1513492902;tkm/yr pCap
CAZ;2070;trn_aviation_intl;254.589526883457;billion pkm/yr;2937.64274432089;pkm/yr pCap
CAZ;2070;trn_freight;1834.97110845397;billion tkm/yr;21173.2573164954;tkm/yr pCap
CAZ;2070;trn_pass;2435.33429529912;billion pkm/yr;28100.6929474213;pkm/yr pCap
CAZ;2070;trn_shipping_intl;862.173051920098;billion tkm/yr;9948.3919913229;tkm/yr pCap
CAZ;2080;trn_aviation_intl;269.527185140937;billion pkm/yr;3054.66809761838;pkm/yr pCap
CAZ;2080;trn_freight;1807.65330246476;billion tkm/yr;20486.9162704543;tkm/yr pCap
CAZ;2080;trn_pass;2507.05158614447;billion pkm/yr;28413.4993480326;pkm/yr pCap
CAZ;2080;trn_shipping_intl;903.903497813523;billion tkm/yr;10244.3290707497;tkm/yr pCap
CAZ;2090;trn_aviation_intl;276.621005596928;billion pkm/yr;3123.80879233681;pkm/yr pCap
CAZ;2090;trn_freight;1782.29226909412;billion tkm/yr;20126.9612504509;tkm/yr pCap
CAZ;2090;trn_pass;2534.67821858899;billion pkm/yr;28623.4593352255;pkm/yr pCap
CAZ;2090;trn_shipping_intl;931.850847101766;billion tkm/yr;10523.1483163812;tkm/yr pCap
CAZ;2100;trn_aviation_intl;276.766286524447;billion pkm/yr;3152.45255670995;pkm/yr pCap
CAZ;2100;trn_freight;1759.3650791483;billion tkm/yr;20039.7057444977;tkm/yr pCap
CAZ;2100;trn_pass;2524.05013273589;billion pkm/yr;28749.7021191722;pkm/yr pCap
CAZ;2100;trn_shipping_intl;949.286713179328;billion tkm/yr;10812.6656739625;tkm/yr pCap
CAZ;2110;trn_aviation_intl;276.202010765711;billion pkm/yr;3171.02461843072;pkm/yr pCap
CAZ;2110;trn_freight;1744.81908914849;billion tkm/yr;20031.9478886451;tkm/yr pCap
CAZ;2110;trn_pass;2511.32731752822;billion pkm/yr;28832.088248534;pkm/yr pCap
CAZ;2110;trn_shipping_intl;960.61294992047;billion tkm/yr;11028.6210608548;tkm/yr pCap
CAZ;2130;trn_aviation_intl;275.285070722105;billion pkm/yr;3193.60030398429;pkm/yr pCap
CAZ;2130;trn_freight;1727.42358541172;billion tkm/yr;20039.9552108277;tkm/yr pCap
CAZ;2130;trn_pass;2493.92473854171;billion pkm/yr;28932.1857601238;pkm/yr pCap
CAZ;2130;trn_shipping_intl;974.436307428802;billion tkm/yr;11304.5000204876;tkm/yr pCap
CAZ;2150;trn_aviation_intl;274.327246864418;billion pkm/yr;3212.08987921936;pkm/yr pCap
